"subj_idx","trial","desWorld","response","rt"
"36","X7",1,1,0.577
"37","X7",0,0,2.329
"38","X7",0,0,13.977
"39","X7",1,0,14.975
"40","X7",0,1,9.369
"41","X7",1,0,20.706
"42","X7",1,1,18.659
"43","X7",0,0,1.951
"44","X7",0,0,1.402
"45","X7",1,1,37.751
"46","X7",1,1,7.178
"47","X7",1,1,10.42
"48","X7",0,0,19.032
"49","X7",1,1,11.416
"50","X7",1,1,5.578
"51","X7",1,1,37.615
"53","X7",0,0,3.96
"54","X7",0,1,3.401
"55","X7",0,0,8.635
"56","X7",1,0,10.694
"57","X7",1,1,9.189
"58","X7",0,0,6.191
"59","X7",0,0,4.104
"60","X7",1,0,2.648
"61","X7",0,0,2.434
"62","X7",0,0,4.985
"63","X7",1,1,10.015
"64","X7",0,1,6.628
"65","X7",1,1,1.864
"66","X7",0,1,4.94
"67","X7",0,0,4.222
"68","X7",0,1,2.896
"69","X7",1,0,15.712
"70","X7",0,1,10.953
"71","X7",0,1,4.989
"72","X7",1,1,6.831
"73","X7",0,0,7.64
"74","X7",0,0,16.785
"75","X7",0,1,6.561
"76","X7",1,1,3.249
"78","X7",0,0,2.248
"79","X7",1,1,1.488
"80","X7",0,0,4.354
"81","X7",1,1,19.921
"82","X7",0,0,16.151
"83","X7",1,1,3.514
"84","X7",0,0,6.27
"85","X7",0,1,4.365
"86","X7",0,0,5.439
"88","X7",0,1,1.708
"89","X7",0,1,14.6
"90","X7",0,0,3.329
"91","X7",0,0,13.769
"92","X7",0,0,20.968
"93","X7",0,0,14.296
"94","X7",1,1,3.387
"95","X7",1,1,2.72
"96","X7",1,1,6.105
"97","X7",0,0,8.36
"98","X7",0,1,8.187
"99","X7",1,0,6.283
"100","X7",1,0,3.38
"2","X8",1,0,3.936
"3","X8",1,0,4.977
"4","X8",0,0,5.675
"6","X8",1,1,2.248
"7","X8",1,0,2.12
"8","X8",1,0,3.215
"9","X8",1,1,5.291
"11","X8",0,0,7.048
"12","X8",0,0,4.004
"14","X8",1,1,4.153
"15","X8",0,0,6.233
"16","X8",0,0,5.583
"17","X8",1,1,16.303
"18","X8",1,1,3.548
"19","X8",0,0,8.032
"20","X8",1,1,5.341
"21","X8",1,1,9.264
"22","X8",0,0,4.136
"23","X8",1,1,11.959
"24","X8",1,1,7.232
"25","X8",0,0,3.225
"26","X8",1,1,4.965
"27","X8",0,1,16.656
"28","X8",0,0,7.192
"29","X8",1,1,14.372
"30","X8",1,0,9.489
"31","X8",1,1,3.002
"32","X8",1,1,2.897
"33","X8",0,0,16.88
"34","X8",0,0,1.872
"36","X8",0,0,2.187
"37","X8",1,1,4.727
"38","X8",0,1,16.209
"39","X8",1,1,4.605
"40","X8",0,1,9.314
"41","X8",1,1,9.184
"42","X8",0,1,18.905
"43","X8",0,1,3.945
"44","X8",0,1,1.074
"45","X8",1,1,22.312
"46","X8",0,0,6.791
"47","X8",0,0,7.87
"48","X8",1,1,18.311
"49","X8",1,0,15.904
"50","X8",0,1,5.024
"53","X8",1,1,5.425
"54","X8",0,0,5.574
"55","X8",0,0,8.014
"56","X8",1,1,53.455
"57","X8",0,0,9.433
"58","X8",0,0,4.336
"59","X8",0,1,11.472
"60","X8",0,0,4.739
"61","X8",0,1,2.673
"62","X8",0,0,6.271
"63","X8",0,1,12.544
"64","X8",1,1,7.866
"65","X8",0,1,3.17
"66","X8",1,0,5.505
"67","X8",0,1,6.756
"68","X8",1,0,3.567
"69","X8",0,0,11.159
"70","X8",0,1,10.023
"71","X8",0,0,3.204
"72","X8",0,0,7.575
"73","X8",0,0,6.944
"74","X8",1,1,4.656
"75","X8",1,0,5.889
"76","X8",1,1,11.144
"78","X8",1,1,1.976
"79","X8",0,0,2.073
"80","X8",0,1,13.136
"81","X8",0,0,5.927
"82","X8",0,0,9.463
"83","X8",1,1,3.5
"84","X8",1,1,15.991
"85","X8",1,1,11.155
"86","X8",1,1,5.576
"88","X8",0,0,2.313
"89","X8",0,0,3.548
"90","X8",0,0,2.183
"92","X8",0,0,7.992
"93","X8",1,1,4.234
"94","X8",0,0,3.383
"95","X8",0,0,6.376
"96","X8",0,0,6.931
"97","X8",0,0,8.112
"98","X8",1,1,6.44
"99","X8",0,0,10.487
"100","X8",1,1,5.096
"2","X9",1,1,4.732
"3","X9",1,1,7.209
"4","X9",1,1,6.459
"6","X9",1,1,2.784
"7","X9",1,1,4.112
"8","X9",1,1,2.367
"9","X9",0,1,7.919
"11","X9",0,1,4.532
"12","X9",1,1,5.904
"13","X9",0,0,9.718
"14","X9",1,1,2.557
"15","X9",1,1,2.708
"16","X9",0,0,5.913
"17","X9",0,0,2.744
"18","X9",0,0,20.222
"19","X9",1,0,8.968
"20","X9",1,1,4.334
"21","X9",1,1,2.485
"22","X9",0,0,5.864
"24","X9",0,1,15.355
"25","X9",1,1,2.952
"26","X9",0,0,11.338
"27","X9",1,1,7.856
"28","X9",1,0,6.774
"29","X9",0,0,13.509
"31","X9",1,0,8.831
"32","X9",1,1,4.255
"33","X9",1,0,19.867
"34","X9",0,0,6.889
"36","X9",0,0,2.546
"37","X9",1,1,6.763
"38","X9",1,0,9.314
"39","X9",0,0,5.391
"40","X9",1,1,11.522
"41","X9",1,1,8.567
"42","X9",1,1,10.843
"43","X9",1,0,2.007
"44","X9",1,1,1.533
"45","X9",1,1,23.712
"46","X9",0,0,10.399
"47","X9",1,1,6.728
"48","X9",0,0,7.751
"49","X9",1,0,20.312
"50","X9",1,1,3.709
"51","X9",0,0,27.224
"53","X9",0,1,4.569
"54","X9",1,1,6.376
"55","X9",1,1,10.097
"56","X9",0,0,23.275
"57","X9",1,1,4.875
"58","X9",0,1,4.676
"59","X9",0,0,12.568
"60","X9",1,1,2.041
"61","X9",0,0,5.537
"62","X9",1,1,9.903
"63","X9",1,1,4.633
"64","X9",1,0,10.307
"65","X9",1,1,2.642
"66","X9",1,1,2.334
"67","X9",1,0,2.225
"68","X9",1,1,3.432
"69","X9",1,1,5.264
"70","X9",0,0,4.447
"71","X9",1,1,4.925
"72","X9",0,0,9.095
"73","X9",1,1,5.807
"74","X9",1,1,13.607
"75","X9",0,0,12.08
"76","X9",0,1,4.903
"78","X9",1,1,2.276
"80","X9",1,1,4.816
"81","X9",1,1,8.328
"82","X9",0,0,5.475
"83","X9",0,1,4.264
"84","X9",0,1,6.519
"85","X9",1,0,10.018
"86","X9",0,1,8.603
"88","X9",1,1,1.702
"89","X9",1,1,8.656
"90","X9",0,1,3.12
"91","X9",0,0,13.667
"92","X9",1,1,4.216
"93","X9",0,0,5.841
"94","X9",1,1,2.736
"95","X9",0,1,3.137
"96","X9",1,1,8.133
"97","X9",0,0,11.359
"98","X9",1,1,2.641
"99","X9",0,0,8.382
"100","X9",1,0,4.928
"2","X10",1,0,1.832
"3","X10",1,1,3.197
"4","X10",0,0,2.609
"6","X10",1,1,4.654
"7","X10",1,0,1.729
"8","X10",0,0,3.015
"9","X10",1,1,10.951
"11","X10",1,1,1.36
"12","X10",0,0,5.449
"14","X10",1,1,3.876
"15","X10",1,0,8.236
"16","X10",1,1,17.72
"17","X10",1,1,5.418
"18","X10",0,0,11.018
"19","X10",1,1,3.112
"20","X10",0,0,4.235
"21","X10",1,1,3.762
"22","X10",1,1,5.408
"23","X10",0,0,36.671
"24","X10",1,1,16.353
"25","X10",1,1,2.345
"26","X10",0,0,13.46
"27","X10",1,1,15.728
"28","X10",1,1,6.555
"29","X10",0,0,14.675
"30","X10",0,0,1.774
"31","X10",1,1,4.117
"32","X10",1,1,10.576
"33","X10",0,0,11.452
"34","X10",0,0,2.48
"36","X10",0,1,1.402
"37","X10",0,1,2.573
"38","X10",1,1,6.011
"39","X10",1,1,3.388
"40","X10",1,0,13.476
"41","X10",0,0,14.596
"42","X10",0,0,12.56
"43","X10",0,1,1.713
"44","X10",0,0,1.215
"45","X10",0,0,27.665
"46","X10",0,0,3.092
"47","X10",0,0,2.437
"48","X10",1,1,2.248
"49","X10",1,1,6.503
"50","X10",1,1,5.612
"51","X10",0,0,30.024
"53","X10",0,0,7.463
"54","X10",1,1,4.08
"55","X10",0,0,12.457
"56","X10",0,0,7.847
"57","X10",1,1,8.513
"58","X10",1,1,9.807
"59","X10",0,0,6.064
"60","X10",0,1,2.359
"61","X10",0,0,6.624
"62","X10",1,1,6.559
"63","X10",1,1,5.789
"64","X10",0,1,5.625
"65","X10",1,1,2.704
"66","X10",0,1,3.283
"67","X10",0,0,3.341
"68","X10",1,1,3.832
"69","X10",0,0,6.352
"70","X10",1,1,6.007
"71","X10",0,0,9.388
"72","X10",1,1,9.286
"73","X10",0,0,3.904
"74","X10",1,1,8.67
"75","X10",1,1,3.747
"76","X10",0,0,5.327
"78","X10",1,1,2.012
"79","X10",1,1,2.278
"80","X10",0,0,6.598
"81","X10",0,0,8.513
"82","X10",0,0,5.626
"83","X10",1,1,5.992
"84","X10",1,1,17.046
"85","X10",0,0,3.494
"86","X10",0,1,8.394
"88","X10",1,1,5.366
"89","X10",1,1,6.338
"90","X10",1,1,2.163
"91","X10",0,1,17.912
"92","X10",1,0,13.091
"93","X10",1,1,17.777
"94","X10",0,0,1.483
"95","X10",0,1,6.389
"96","X10",0,0,5.274
"97","X10",0,0,17.408
"98","X10",0,1,10.007
"99","X10",1,1,4.841
"100","X10",0,0,4.38
"2","X11",1,1,1.227
"3","X11",0,1,5.608
"4","X11",1,1,2.48
"6","X11",0,0,9.251
"7","X11",0,0,2.456
"8","X11",1,0,2.568
"9","X11",1,1,5.627
"11","X11",0,1,1.464
"12","X11",0,0,7.256
"13","X11",1,1,10.353
"14","X11",1,1,1.756
"16","X11",1,1,5.959
"17","X11",0,0,3.774
"18","X11",1,1,5.52
"19","X11",0,0,3.608
"20","X11",1,1,11.431
"21","X11",1,1,9.552
"22","X11",1,1,3.233
"23","X11",1,1,11.751
"24","X11",1,1,13.824
"25","X11",0,0,1.824
"27","X11",1,1,5.295
"28","X11",1,1,3.385
"29","X11",1,1,16.706
"30","X11",1,0,4.017
"31","X11",0,0,7.984
"32","X11",1,1,2.72
"33","X11",1,1,14.57
"34","X11",0,0,4.503
"36","X11",1,1,1.047
"37","X11",0,0,6.717
"38","X11",1,1,14.966
"39","X11",0,0,5.268
"40","X11",0,0,7.269
"41","X11",0,0,10.961
"42","X11",0,0,22.3
"43","X11",1,1,1.439
"44","X11",0,0,1.994
"45","X11",0,0,18.961
"46","X11",1,1,14.008
"47","X11",1,0,3.873
"48","X11",1,1,2.435
"49","X11",0,1,9.808
"50","X11",1,1,3.176
"51","X11",0,0,23.739
"53","X11",1,1,5.031
"54","X11",1,1,2.852
"55","X11",1,0,4.566
"56","X11",0,0,16.085
"57","X11",0,0,11.87
"58","X11",0,0,7.646
"59","X11",1,1,7.672
"60","X11",1,1,5.461
"61","X11",1,1,2.848
"62","X11",0,0,4.968
"63","X11",0,1,5.751
"64","X11",1,1,6.269
"65","X11",0,0,3.231
"66","X11",1,1,2.036
"67","X11",0,0,5.516
"68","X11",0,1,3.176
"69","X11",0,0,7.008
"70","X11",0,0,12.399
"71","X11",1,1,3.431
"72","X11",1,1,4.545
"73","X11",1,1,6.239
"74","X11",0,0,7.247
"75","X11",0,1,17.744
"76","X11",1,1,9.992
"78","X11",0,1,1.987
"79","X11",1,0,2.3
"80","X11",0,0,15.863
"81","X11",0,0,7.6
"82","X11",0,0,21.076
"83","X11",1,1,5.328
"84","X11",1,1,17.35
"85","X11",1,1,7.94
"86","X11",0,1,13.732
"88","X11",1,1,4.627
