                                mean         std        2.5q        25q        50q        75q       97.5q       mc err
a_subj.93                     4.9844    0.277921     4.46179    4.79419    4.97402    5.16318     5.56923   0.00320994
a_subj.94                    4.59576    0.260636      4.1107    4.41594    4.58335    4.76469     5.13099   0.00290211
a_subj.95                    4.09154       0.237     3.66024    3.92806    4.07796    4.24669     4.58647   0.00274503
a_subj.96                    4.96574    0.275804      4.4652    4.77295    4.95391    5.14347     5.53851   0.00326573
a_subj.97                    6.30762    0.400067     5.58285    6.02774    6.28695    6.56565       7.144   0.00548501
a_subj.98                      4.447    0.239113     4.00698    4.28267     4.4359    4.60359     4.94435   0.00275898
a_subj.99                    3.70983    0.214046     3.32156    3.56017    3.70057    3.84695     4.15812   0.00252113
a_subj.100                   3.30459    0.177003     2.97878    3.18137    3.29872    3.41923     3.67566   0.00164262
t                           0.898377    0.369243    0.117923   0.646026   0.949266    1.18233     1.49301   0.00683318
t_std                         1.5023    0.226097     1.11692    1.33342    1.48401    1.65655     1.97391   0.00423838
t_subj.2                    0.441834   0.0457382    0.336741   0.414886   0.447514   0.474728    0.513968  0.000446772
t_subj.3                      1.3472   0.0693027     1.18457    1.30845    1.35626     1.3976     1.45284  0.000847085
t_subj.4                     0.98092    0.157164    0.624637   0.887774   0.999077    1.09383     1.23677   0.00219644
t_subj.6                    0.771143   0.0721132    0.606677   0.728982    0.78036   0.822402    0.886742   0.00098627
t_subj.7                    0.983233   0.0417806      0.8876   0.958473   0.988167    1.01341     1.05005  0.000526349
t_subj.8                     1.80855   0.0802313     1.62653    1.76098    1.81806    1.86588     1.93837   0.00109829
t_subj.9                      1.1362    0.140313    0.814805    1.05635    1.15583    1.23758     1.35505   0.00159649
t_subj.11                   0.594143   0.0714291    0.429229   0.553384    0.60324   0.645453     0.70595  0.000789477
t_subj.12                     1.7959     0.13905     1.48357    1.71314    1.81283    1.89561     2.01991   0.00181083
t_subj.13                    2.03169    0.178834     1.61906    1.92765    2.05409    2.15958     2.31457   0.00216304
t_subj.14                    1.08474   0.0671396    0.928656    1.04624    1.09305    1.13275     1.19119  0.000850347
t_subj.15                   0.596587    0.230296    0.109052   0.440603   0.612971    0.76559     1.00206   0.00280979
t_subj.16                    3.35161    0.201884     2.89113    3.23389    3.37546    3.49421     3.67628   0.00217823
t_subj.17                    1.44194    0.157315      1.0825    1.35007    1.46005    1.55322     1.69632   0.00193743
t_subj.18                   0.990237    0.169808    0.599764   0.889884    1.01213    1.11164     1.26071   0.00198803
t_subj.19                    1.01956    0.106262    0.769227   0.959381    1.03347    1.09558     1.18345    0.0010723
t_subj.20                   0.513668    0.146776    0.195677   0.418648   0.527547   0.619403    0.761579   0.00193066
t_subj.21                    1.03238     0.11484    0.767239   0.965008    1.04742    1.11641     1.21319   0.00141836
t_subj.22                    1.44966    0.083084     1.26099    1.40099    1.46065    1.50929     1.58508  0.000867739
t_subj.23                   0.142767   0.0923762  0.00804684  0.0660328   0.130878   0.206977    0.339058   0.00106039
t_subj.24                       2.66    0.223746     2.15438    2.53134     2.6851    2.81985     3.02238   0.00242846
t_subj.25                    1.48016   0.0324948     1.40517    1.46149    1.48447     1.5038     1.53109  0.000420735
t_subj.26                    1.29241    0.164261    0.906663    1.19633    1.31393    1.41004     1.55141   0.00212266
t_subj.27                    2.07168    0.160189     1.70873    1.97556    2.08976    2.18925     2.32842   0.00198043
t_subj.28                    2.49424   0.0997705     2.26351    2.43676    2.50765    2.56661     2.64951   0.00118404
t_subj.29                    3.84925    0.262167     3.25291    3.69375    3.87507    4.03692     4.28262   0.00340797
t_subj.30                   0.912515   0.0666784    0.756384   0.874036   0.920814   0.961027       1.017  0.000918684
t_subj.31                   0.845109    0.239434    0.307057   0.692914   0.869068    1.01749     1.24953   0.00292853
t_subj.32                   0.962424    0.132884    0.663881   0.883595   0.975983     1.0579     1.18163     0.001699
t_subj.33                    3.37499    0.311999     2.67109    3.18761     3.4122    3.60177     3.87248   0.00391905
t_subj.34                    1.12999     0.14606    0.807959    1.03985     1.1449    1.23526     1.37437   0.00170496
t_subj.36                   0.450553   0.0367959    0.367341   0.429001   0.455156   0.476895    0.509719  0.000475442
t_subj.37                   0.277043   0.0884373   0.0820815   0.221237   0.286039   0.341684    0.426104   0.00103923
t_subj.38                    3.04505    0.232186     2.51774    2.90708    3.07181    3.20967     3.42409   0.00297873
t_subj.39                     1.9467    0.194329      1.5093    1.83096    1.96712    2.08589     2.26387   0.00269042
t_subj.40                    3.04565    0.176387     2.64483    2.94216    3.06933     3.1725     3.32021   0.00182418
t_subj.41                    2.33644    0.262436     1.74193    2.17865    2.36704    2.52504     2.76652   0.00317864
t_subj.42                    1.94635    0.366406      1.1321    1.72136    1.98519    2.20793     2.55562   0.00464446
t_subj.43                   0.808968   0.0520161    0.692469   0.777588   0.814391    0.84624    0.894814  0.000634342
t_subj.44                   0.932796   0.0163717    0.894918   0.923376   0.934874   0.944644    0.958273  0.000204099
t_subj.45                    1.67141    0.428095    0.704459    1.40816    1.71624    1.98409     2.37875   0.00546846
t_subj.46                   0.644521    0.188541    0.229388   0.524312    0.66072   0.781109    0.967551   0.00252623
t_subj.47                   0.890616   0.0847065     0.69545   0.841324   0.901154   0.950567     1.02389   0.00101658
t_subj.48                   0.766304    0.235688    0.246457    0.61873   0.784745   0.933852     1.17599   0.00338683
t_subj.49                    3.28681    0.194414     2.84115     3.1756    3.31031    3.42674     3.59519   0.00238943
t_subj.50                    1.70157    0.181338     1.29245    1.59397    1.72368     1.8306     1.99598   0.00216377
t_subj.51                    4.35618    0.455413      3.3064    4.08292    4.40796    4.69216     5.08186   0.00564724
t_subj.53                    1.22889    0.110578    0.972035    1.16468    1.24404    1.30721     1.40387   0.00127769
t_subj.54                    1.59361   0.0671005     1.43897    1.55457    1.60278    1.64192      1.6989  0.000747966
t_subj.55                   0.937732    0.196286    0.491694   0.817311   0.958578    1.07832     1.26582   0.00254124
t_subj.56                    1.34686    0.427977    0.382015    1.08134    1.38675    1.65625     2.07003   0.00383535
t_subj.57                    1.29136    0.159156    0.930006    1.19756    1.30887    1.40473     1.55122   0.00200226
t_subj.58                   0.882119    0.232245    0.357049    0.74159   0.903221    1.04757     1.27935   0.00295222
t_subj.59                    2.30691    0.295834     1.64784     2.1273    2.33897    2.52017     2.79257   0.00401273
t_subj.60                    1.03018    0.094441    0.820295   0.973025    1.04058    1.09786     1.18706    0.0013449
t_subj.61                    1.76426   0.0603525     1.62568    1.72986    1.77149    1.80723     1.86082  0.000727561
