                                 mean        std        2.5q        25q        50q        75q       97.5q       mc err
z_subj.37                     0.43901   0.035857    0.369446   0.414375   0.439139    0.46335    0.509087  0.000384314
z_subj.38                    0.494399  0.0356447    0.424204   0.470217   0.494096   0.518763    0.564432     0.000365
z_subj.39                    0.514557  0.0361912    0.443503   0.490322   0.514721   0.539279    0.584908  0.000341296
z_subj.40                    0.654755  0.0451924    0.565956   0.623924   0.655132   0.685833    0.741503  0.000833498
z_subj.41                    0.491546  0.0368068    0.418994   0.466632   0.491569   0.516246    0.563452  0.000431613
z_subj.42                    0.569624  0.0361573    0.499396   0.545507   0.570133   0.594275    0.639277   0.00038328
z_subj.43                    0.480309  0.0358727    0.410094   0.455797    0.48044   0.504519      0.5501  0.000364389
z_subj.44                    0.561461  0.0375646    0.487531   0.536049   0.561236   0.587074    0.634496  0.000486407
z_subj.45                    0.521049  0.0362565    0.450452   0.496199   0.521258   0.545653    0.591154  0.000373159
z_subj.46                    0.503249  0.0349112    0.434656   0.479929   0.503022   0.526796    0.572072  0.000366656
z_subj.47                    0.454583   0.037331    0.381078   0.429529   0.454737    0.47988    0.527376  0.000418362
z_subj.48                    0.467561  0.0351787    0.398511   0.444018   0.467613   0.491097     0.53713  0.000344816
z_subj.49                    0.562006  0.0407463    0.483314   0.534205   0.562265   0.589746    0.641445  0.000464482
v_C(whichWorld)[0]          -0.230673   0.020983   -0.271917  -0.244436  -0.230943  -0.216627   -0.189519  0.000573212
v_C(whichWorld)[0]_std      0.0663246  0.0302173   0.0101087   0.045454  0.0649228  0.0862452    0.128395   0.00176426
v_C(whichWorld)[0]_subj.1   -0.256148  0.0698468    -0.41339  -0.295185  -0.249377  -0.211952   -0.129746   0.00133421
v_C(whichWorld)[0]_subj.2    -0.17819  0.0651098   -0.287292  -0.223473  -0.187349  -0.138394  -0.0301337   0.00176788
v_C(whichWorld)[0]_subj.3   -0.194733     0.0652   -0.310264  -0.237688  -0.201731   -0.15686  -0.0485055   0.00143383
v_C(whichWorld)[0]_subj.4    -0.24886  0.0646582   -0.388215  -0.286979  -0.243738  -0.208525   -0.125156   0.00107773
v_C(whichWorld)[0]_subj.5   -0.222754  0.0581066   -0.336773  -0.258041  -0.224147  -0.188531  -0.0994292  0.000725087
v_C(whichWorld)[0]_subj.6    -0.21019  0.0736425   -0.346573  -0.253931  -0.216387  -0.172173  -0.0407652   0.00108761
v_C(whichWorld)[0]_subj.7   -0.232502  0.0560928   -0.350315  -0.266054  -0.231096  -0.198105   -0.120276  0.000696621
v_C(whichWorld)[0]_subj.8    -0.19429   0.062391   -0.306796  -0.235286  -0.200573  -0.157795  -0.0545792    0.0013846
v_C(whichWorld)[0]_subj.9   -0.265677  0.0693449    -0.42485  -0.305055  -0.257094  -0.220066    -0.14432   0.00151133
v_C(whichWorld)[0]_subj.10  -0.229939  0.0545333    -0.34017   -0.26353  -0.229588  -0.197007   -0.117518  0.000676562
v_C(whichWorld)[0]_subj.11  -0.167995  0.0742755    -0.28797  -0.219412  -0.180346  -0.125432  0.00542707   0.00215514
v_C(whichWorld)[0]_subj.12  -0.267443  0.0666675   -0.417157  -0.305796  -0.260009  -0.222726   -0.150124   0.00158258
v_C(whichWorld)[0]_subj.13  -0.214284  0.0628284   -0.335889  -0.254045  -0.217665  -0.178121  -0.0778308  0.000927242
v_C(whichWorld)[0]_subj.15  -0.241481  0.0608556   -0.371014  -0.277641  -0.237896  -0.204058   -0.123959   0.00089072
v_C(whichWorld)[0]_subj.16  -0.266255   0.059541   -0.398306  -0.302538  -0.259931  -0.226374   -0.160405   0.00142127
v_C(whichWorld)[0]_subj.17  -0.265913  0.0565502   -0.389447  -0.300722  -0.260436  -0.227154   -0.164655   0.00141448
v_C(whichWorld)[0]_subj.18  -0.270575   0.069588   -0.429586  -0.309679  -0.261531  -0.223659    -0.15284   0.00174489
